"filename","issue_severity","line_number","test_id","total_lines_in_file"
"chromium\build\android\pylib\content_settings.py","LOW",21,"B101",84
"chromium\build\android\pylib\content_settings.py","LOW",53,"B101",84
"chromium\build\android\pylib\device\adb_wrapper.py","LOW",308,"B101",386
"chromium\build\android\pylib\flag_changer.py","LOW",53,"B101",163
"chromium\build\android\pylib\flag_changer.py","LOW",65,"B101",163
"chromium\build\android\pylib\flag_changer.py","LOW",83,"B101",163
"chromium\build\android\pylib\flag_changer.py","LOW",108,"B101",163
"chromium\build\android\pylib\flag_changer.py","LOW",113,"B101",163
"chromium\build\android\pylib\forwarder.py","LOW",208,"B101",347
"chromium\build\android\pylib\forwarder.py","LOW",215,"B101",347
"chromium\build\android\pylib\gtest\setup.py","LOW",124,"B101",356
"chromium\build\android\pylib\gtest\setup.py","LOW",146,"B101",356
"chromium\build\android\pylib\host_driven\test_case.py","LOW",175,"B101",197
"chromium\build\android\pylib\host_driven\test_runner.py","LOW",82,"B101",133
"chromium\build\android\pylib\host_driven\test_server.py","LOW",19,"B404",120
"chromium\build\android\pylib\host_driven\test_server.py","LOW",101,"B603",120
"chromium\build\android\pylib\host_driven\test_server.py","MEDIUM",109,"B310",120
"chromium\build\android\pylib\instrumentation\test_jar.py","LOW",11,"B403",235
"chromium\build\android\pylib\instrumentation\test_jar.py","MEDIUM",64,"B301",235
"chromium\build\android\pylib\linker\test_runner.py","LOW",88,"B101",103
"chromium\build\android\pylib\monkey\test_runner.py","LOW",37,"B311",95
"chromium\build\android\pylib\perf\perf_control.py","LOW",26,"B101",101
"chromium\build\android\pylib\perf\setup.py","LOW",54,"B101",97
"chromium\build\android\pylib\perf\surface_stats_collector.py","LOW",51,"B101",312
"chromium\build\android\pylib\perf\surface_stats_collector.py","LOW",154,"B101",312
"chromium\build\android\pylib\perf\surface_stats_collector.py","LOW",299,"B101",312
"chromium\build\android\pylib\ports.py","LOW",154,"B101",176
"chromium\build\android\pylib\symbols\elf_symbolizer.py","LOW",13,"B404",461
"chromium\build\android\pylib\symbols\elf_symbolizer.py","LOW",108,"B101",461
"chromium\build\android\pylib\symbols\elf_symbolizer.py","LOW",142,"B101",461
"chromium\build\android\pylib\symbols\elf_symbolizer.py","LOW",180,"B101",461
"chromium\build\android\pylib\symbols\elf_symbolizer.py","LOW",312,"B110",461
"chromium\build\android\pylib\symbols\elf_symbolizer.py","LOW",390,"B603",461
"chromium\build\android\pylib\utils\emulator.py","LOW",14,"B404",444
"chromium\build\android\pylib\utils\emulator.py","LOW",364,"B603",444
"chromium\build\android\pylib\utils\flakiness_dashboard_results_uploader.py","MEDIUM",79,"B318",179
"chromium\build\android\pylib\utils\parallelizer.py","LOW",68,"B101",195
"chromium\build\android\pylib\utils\parallelizer.py","LOW",171,"B101",195
"chromium\build\android\pylib\utils\parallelizer.py","LOW",172,"B101",195
"chromium\build\android\pylib\utils\parallelizer.py","LOW",174,"B101",195
"chromium\build\android\pylib\utils\parallelizer.py","LOW",175,"B101",195
"chromium\build\android\pylib\utils\report_results.py","LOW",49,"B101",108
"chromium\build\android\pylib\utils\xvfb.py","LOW",9,"B404",58
"chromium\build\android\pylib\utils\xvfb.py","LOW",32,"B607",58
"chromium\build\android\pylib\utils\xvfb.py","LOW",32,"B603",58
"chromium\build\android\pylib\utils\xvfb.py","LOW",42,"B607",58
"chromium\build\android\pylib\utils\xvfb.py","LOW",42,"B602",58
"chromium\build\android\pylib\utils\xvfb.py","LOW",55,"B110",58
"chromium\build\env_dump.py","LOW",13,"B404",56
"chromium\build\env_dump.py","LOW",41,"B603",56
"chromium\build\find_isolated_tests.py","MEDIUM",28,"B303",78
"chromium\build\get_syzygy_binaries.py","LOW",19,"B404",410
"chromium\build\get_syzygy_binaries.py","HIGH",57,"B602",410
"chromium\build\get_syzygy_binaries.py","MEDIUM",94,"B303",410
"chromium\build\get_syzygy_binaries.py","MEDIUM",255,"B310",410
"chromium\build\gn_run_binary.py","LOW",12,"B404",22
"chromium\build\gn_run_binary.py","LOW",22,"B603",22
"chromium\build\ios\clean_env.py","LOW",30,"B101",77
"chromium\build\ios\clean_env.py","LOW",39,"B101",77
"chromium\build\ios\clean_env.py","LOW",69,"B101",77
"chromium\build\ios\clean_env.py","LOW",72,"B606",77
"chromium\build\landmines.py","LOW",23,"B404",135
"chromium\build\landmines.py","LOW",125,"B603",135
"chromium\build\mac\tweak_info_plist.py","LOW",28,"B404",280
"chromium\build\mac\tweak_info_plist.py","LOW",38,"B603",280
"chromium\build\mac\tweak_info_plist.py","LOW",48,"B603",280
"chromium\build\mac\tweak_info_plist.py","LOW",163,"B101",280
"chromium\build\mac\tweak_info_plist.py","LOW",273,"B607",280
"chromium\build\mac\tweak_info_plist.py","LOW",273,"B603",280
"chromium\build\protoc_java.py","LOW",22,"B404",56
"chromium\build\protoc_java.py","LOW",41,"B603",56
"chromium\build\toolchain\win\setup_toolchain.py","LOW",8,"B404",108
"chromium\build\util\lib\common\util.py","LOW",12,"B404",151
"chromium\build\util\lib\common\util.py","LOW",109,"B607",151
"chromium\build\util\lib\common\util.py","LOW",109,"B603",151
"chromium\build\util\lib\common\util.py","LOW",125,"B603",151
"chromium\build\win\reorder-imports.py","LOW",10,"B404",57
"chromium\build\win\reorder-imports.py","LOW",34,"B603",57
"chromium\chrome\browser\metrics\variations\generate_resources_map.py","MEDIUM",36,"B303",183
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",7,"B405",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",15,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","MEDIUM",16,"B314",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",18,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",26,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",53,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",64,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",68,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",72,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",75,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",78,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",79,"B101",98
"chromium\chrome\browser\nacl_host\test\debug_stub_browser_tests.py","LOW",82,"B101",98
"chromium\chrome\browser\policy\test\asn1der.py","LOW",28,"B101",69
"chromium\chrome\browser\resources\chromeos\chromevox\tools\generate_manifest.py","HIGH",28,"B701",59
"chromium\chrome\browser\resources\chromeos\chromevox\tools\jscompilerwrapper.py","LOW",12,"B404",72
"chromium\chrome\browser\resources\chromeos\chromevox\tools\jscompilerwrapper.py","LOW",40,"B603",72
"chromium\chrome\browser\web_dev_style\css_checker.py","LOW",344,"B101",372
"chromium\chrome\browser\web_dev_style\js_checker.py","LOW",29,"B101",255
"chromium\chrome\common\extensions\docs\examples\apps\hello-python\oauth2\__init__.py","LOW",96,"B311",758
"chromium\chrome\common\extensions\docs\examples\apps\hello-python\oauth2\__init__.py","LOW",101,"B311",758
"chromium\chrome\common\extensions\docs\examples\apps\hello-python\oauth2\__init__.py","LOW",414,"B311",758
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",55,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",65,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",68,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",104,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",110,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",120,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",123,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",164,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_data_source.py","LOW",241,"B101",824
"chromium\chrome\common\extensions\docs\server2\api_schema_graph.py","LOW",15,"B101",174
"chromium\chrome\common\extensions\docs\server2\api_schema_graph.py","LOW",63,"B101",174
"chromium\chrome\common\extensions\docs\server2\api_schema_graph.py","LOW",82,"B101",174
"chromium\chrome\common\extensions\docs\server2\app_yaml_helper.py","LOW",98,"B101",125
"chromium\chrome\common\extensions\docs\server2\appengine_url_fetcher.py","LOW",29,"B101",51
"chromium\chrome\common\extensions\docs\server2\appengine_url_fetcher.py","LOW",48,"B101",51
"chromium\chrome\common\extensions\docs\server2\appengine_wrappers.py","LOW",244,"B101",270
"chromium\chrome\common\extensions\docs\server2\availability_finder.py","LOW",90,"B101",386
"chromium\chrome\common\extensions\docs\server2\availability_finder.py","LOW",91,"B101",386
"chromium\chrome\common\extensions\docs\server2\availability_finder.py","LOW",177,"B101",386
"chromium\chrome\common\extensions\docs\server2\availability_finder.py","LOW",324,"B101",386
"chromium\chrome\common\extensions\docs\server2\branch_utility.py","LOW",23,"B101",236
"chromium\chrome\common\extensions\docs\server2\branch_utility.py","LOW",24,"B101",236
"chromium\chrome\common\extensions\docs\server2\branch_utility.py","LOW",27,"B101",236
"chromium\chrome\common\extensions\docs\server2\build_server.py","LOW",43,"B110",89
"chromium\chrome\common\extensions\docs\server2\caching_file_system.py","LOW",69,"B101",141
"chromium\chrome\common\extensions\docs\server2\caching_file_system.py","LOW",81,"B101",141
"chromium\chrome\common\extensions\docs\server2\chained_compiled_file_system.py","LOW",44,"B101",93
"chromium\chrome\common\extensions\docs\server2\compiled_file_system.py","LOW",76,"B101",256
"chromium\chrome\common\extensions\docs\server2\compiled_file_system.py","LOW",77,"B101",256
"chromium\chrome\common\extensions\docs\server2\compiled_file_system.py","LOW",182,"B101",256
"chromium\chrome\common\extensions\docs\server2\content_provider.py","LOW",83,"B101",192
"chromium\chrome\common\extensions\docs\server2\content_providers.py","LOW",63,"B110",181
"chromium\chrome\common\extensions\docs\server2\cron_servlet.py","LOW",172,"B101",294
"chromium\chrome\common\extensions\docs\server2\data_source_registry.py","LOW",30,"B101",42
"chromium\chrome\common\extensions\docs\server2\datastore_models.py","LOW",5,"B403",35
"chromium\chrome\common\extensions\docs\server2\datastore_models.py","MEDIUM",35,"B301",35
"chromium\chrome\common\extensions\docs\server2\docs_server_utils.py","MEDIUM",30,"B303",61
"chromium\chrome\common\extensions\docs\server2\file_system.py","LOW",45,"B101",195
"chromium\chrome\common\extensions\docs\server2\host_file_system_provider.py","LOW",75,"B101",112
"chromium\chrome\common\extensions\docs\server2\host_file_system_provider.py","LOW",76,"B101",112
"chromium\chrome\common\extensions\docs\server2\local_renderer.py","LOW",18,"B101",20
"chromium\chrome\common\extensions\docs\server2\new_github_file_system.py","LOW",224,"B101",296
"chromium\chrome\common\extensions\docs\server2\new_github_file_system.py","LOW",281,"B101",296
"chromium\chrome\common\extensions\docs\server2\new_github_file_system_test.py","LOW",56,"B101",280
"chromium\chrome\common\extensions\docs\server2\new_github_file_system_test.py","LOW",66,"B101",280
"chromium\chrome\common\extensions\docs\server2\new_github_file_system_test.py","MEDIUM",89,"B303",280
"chromium\chrome\common\extensions\docs\server2\new_github_file_system_test.py","LOW",89,"B311",280
"chromium\chrome\common\extensions\docs\server2\patched_file_system.py","LOW",71,"B101",166
"chromium\chrome\common\extensions\docs\server2\patched_file_system.py","LOW",79,"B101",166
"chromium\chrome\common\extensions\docs\server2\patched_file_system.py","LOW",105,"B101",166
"chromium\chrome\common\extensions\docs\server2\patched_file_system.py","LOW",106,"B101",166
"chromium\chrome\common\extensions\docs\server2\patched_file_system.py","LOW",123,"B101",166
"chromium\chrome\common\extensions\docs\server2\path_canonicalizer.py","LOW",55,"B101",121
"chromium\chrome\common\extensions\docs\server2\path_canonicalizer.py","LOW",77,"B101",121
"chromium\chrome\common\extensions\docs\server2\path_util.py","LOW",29,"B101",95
"chromium\chrome\common\extensions\docs\server2\path_util.py","LOW",33,"B101",95
"chromium\chrome\common\extensions\docs\server2\path_util.py","LOW",68,"B101",95
"chromium\chrome\common\extensions\docs\server2\path_util.py","LOW",72,"B101",95
"chromium\chrome\common\extensions\docs\server2\platform_util.py","LOW",32,"B101",38
"chromium\chrome\common\extensions\docs\server2\platform_util.py","LOW",37,"B101",38
"chromium\chrome\common\extensions\docs\server2\render_servlet.py","LOW",86,"B101",151
"chromium\chrome\common\extensions\docs\server2\render_servlet.py","MEDIUM",131,"B303",151
"chromium\chrome\common\extensions\docs\server2\render_servlet.py","MEDIUM",146,"B303",151
"chromium\chrome\common\extensions\docs\server2\server_instance.py","LOW",64,"B101",150
"chromium\chrome\common\extensions\docs\server2\subversion_file_system.py","LOW",7,"B408",214
"chromium\chrome\common\extensions\docs\server2\subversion_file_system.py","MEDIUM",24,"B318",214
"chromium\chrome\common\extensions\docs\server2\subversion_file_system.py","MEDIUM",103,"B318",214
"chromium\chrome\common\extensions\docs\server2\template_renderer.py","LOW",30,"B101",52
"chromium\chrome\common\extensions\docs\server2\test_file_system.py","LOW",38,"B101",147
"chromium\chrome\common\extensions\docs\server2\test_file_system.py","LOW",106,"B101",147
"chromium\chrome\common\extensions\docs\server2\test_object_store.py","LOW",19,"B101",65
"chromium\chrome\common\extensions\docs\server2\timer.py","LOW",19,"B101",58
"chromium\chrome\common\extensions\docs\server2\timer.py","LOW",27,"B101",58
"chromium\chrome\common\extensions\docs\server2\timer.py","LOW",28,"B101",58
"chromium\chrome\common\extensions\docs\server2\timer.py","LOW",39,"B101",58
"chromium\chrome\installer\util\prebuild\create_string_rc.py","LOW",37,"B406",432
"chromium\chrome\installer\util\prebuild\create_string_rc.py","LOW",118,"B101",432
"chromium\chrome\installer\util\prebuild\create_string_rc.py","LOW",132,"B101",432
"chromium\chrome\installer\util\prebuild\create_string_rc.py","LOW",189,"B101",432
"chromium\chrome\installer\util\prebuild\create_string_rc.py","LOW",196,"B101",432
"chromium\chrome\installer\util\prebuild\create_string_rc.py","LOW",208,"B101",432
"chromium\chrome\installer\util\prebuild\create_string_rc.py","MEDIUM",285,"B317",432
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW",74,"B101",344
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW",89,"B101",344
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW",93,"B101",344
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW",97,"B101",344
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW",101,"B101",344
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW",105,"B101",344
"chromium\chrome\test\chromedriver\client\chromedriver.py","LOW",111,"B101",344
"chromium\chrome\test\chromedriver\server\server.py","LOW",8,"B404",75
"chromium\chrome\test\chromedriver\server\server.py","LOW",32,"B603",75
"chromium\chrome\test\chromedriver\server\server.py","MEDIUM",60,"B310",75
"chromium\chrome\test\chromedriver\server\server.py","MEDIUM",71,"B310",75
"chromium\chrome\test\chromedriver\test\webserver.py","LOW",85,"B504",225
"chromium\chrome\test\ispy\server\debug_view_handler.py","HIGH",16,"B701",45
"chromium\chrome\test\ispy\server\main_view_handler.py","HIGH",21,"B701",121
"chromium\chrome\test\mini_installer\file_verifier.py","LOW",29,"B101",31
"chromium\chrome\test\mini_installer\process_verifier.py","LOW",31,"B101",33
"chromium\chrome\test\mini_installer\registry_verifier.py","LOW",70,"B101",101
"chromium\chrome\test\mini_installer\registry_verifier.py","LOW",74,"B101",101
"chromium\chrome\test\mini_installer\registry_verifier.py","LOW",90,"B101",101
"chromium\chrome\test\mini_installer\registry_verifier.py","LOW",98,"B101",101
"chromium\chrome\test\mini_installer\test_installer.py","LOW",15,"B404",294
"chromium\chrome\test\mini_installer\test_installer.py","HIGH",131,"B602",294
"chromium\chrome\test\mini_installer\test_installer.py","LOW",174,"B101",294
"chromium\chrome\test\mini_installer\test_installer.py","HIGH",256,"B602",294
"chromium\chrome\test\mini_installer\test_installer.py","LOW",277,"B101",294
"chromium\chrome\test\mini_installer\uninstall_chrome.py","LOW",13,"B404",68
"chromium\chrome\test\mini_installer\uninstall_chrome.py","HIGH",58,"B602",68
"chromium\chrome\test\mini_installer\variable_expander.py","MEDIUM",52,"B303",148
"chromium\chrome\test\mini_installer\verifier.py","MEDIUM",52,"B307",52
"chromium\chrome\test\nacl_test_injection\buildbot_nacl_integration.py","LOW",7,"B404",77
"chromium\chrome\test\nacl_test_injection\buildbot_nacl_integration.py","LOW",73,"B603",77
"chromium\chrome\tools\build\win\syzygy_instrument.py","LOW",13,"B404",146
"chromium\chrome\tools\build\win\syzygy_instrument.py","LOW",32,"B603",146
"chromium\chrome\tools\build\win\syzygy_reorder.py","LOW",11,"B404",111
"chromium\chrome\tools\build\win\syzygy_reorder.py","LOW",29,"B603",111
"chromium\chrome\tools\webforms_aggregator_unittests.py","LOW",8,"B404",298
"chromium\chrome\tools\webforms_aggregator_unittests.py","LOW",246,"B603",298
"chromium\chrome\tools\webforms_aggregator_unittests.py","LOW",252,"B603",298
"chromium\components\policy\resources\PRESUBMIT.py","LOW",10,"B408",126
"chromium\components\policy\resources\PRESUBMIT.py","MEDIUM",18,"B307",126
"chromium\components\policy\resources\PRESUBMIT.py","MEDIUM",82,"B318",126
"chromium\components\policy\tools\make_policy_zip.py","LOW",40,"B101",83
"chromium\components\test\data\password_manager\run_tests.py","LOW",58,"B605",100
"chromium\components\test\data\password_manager\run_tests.py","LOW",58,"B607",100
"chromium\components\test\data\password_manager\run_tests.py","LOW",61,"B110",100
"chromium\components\test\data\password_manager\run_tests.py","HIGH",71,"B605",100
"chromium\components\test\data\password_manager\run_tests.py","LOW",96,"B110",100
"chromium\content\browser\tracing\generate_trace_viewer_grd.py","LOW",15,"B408",80
"chromium\content\browser\tracing\generate_trace_viewer_grd.py","MEDIUM",71,"B318",80
"chromium\media\tools\constrained_network_server\cns.py","MEDIUM",263,"B310",456
"chromium\media\tools\constrained_network_server\cns.py","LOW",349,"B110",456
"chromium\media\tools\constrained_network_server\cns_test.py","LOW",9,"B404",265
"chromium\media\tools\constrained_network_server\cns_test.py","LOW",173,"B603",265
"chromium\media\tools\constrained_network_server\cns_test.py","MEDIUM",204,"B310",265
"chromium\media\tools\constrained_network_server\cns_test.py","MEDIUM",221,"B310",265
"chromium\media\tools\constrained_network_server\traffic_control.py","LOW",14,"B404",354
"chromium\media\tools\constrained_network_server\traffic_control.py","LOW",350,"B603",354
"chromium\media\tools\layout_tests\layouttest_analyzer_helpers_unittest.py","LOW",9,"B403",212
"chromium\media\tools\layout_tests\test_expectations.py","MEDIUM",63,"B310",107
"chromium\mojo\public\tools\bindings\generators\mojom_java_generator.py","LOW",122,"B101",363
"chromium\mojo\public\tools\bindings\generators\mojom_java_generator.py","LOW",208,"B101",363
"chromium\mojo\public\tools\bindings\generators\mojom_java_generator.py","LOW",210,"B101",363
"chromium\mojo\public\tools\bindings\generators\mojom_java_generator.py","LOW",334,"B110",363
"chromium\mojo\public\tools\bindings\generators\mojom_js_generator.py","LOW",36,"B101",192
"chromium\mojo\public\tools\bindings\pylib\mojom\generate\pack.py","LOW",148,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\generate\template_expander.py","LOW",22,"B101",59
"chromium\mojo\public\tools\bindings\pylib\mojom\generate\template_expander.py","HIGH",40,"B701",59
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",41,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",44,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",65,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",72,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",88,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",100,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",122,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",125,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",140,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",155,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",175,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",194,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",195,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",211,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",212,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",213,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",239,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",240,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",255,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",256,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",257,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",278,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",291,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",292,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",293,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",316,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",317,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",332,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",333,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",334,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\ast.py","LOW",337,"B101",354
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\lexer.py","LOW",18,"B101",253
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\parser.py","LOW",20,"B101",380
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\parser.py","MEDIUM",99,"B307",380
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\parser.py","MEDIUM",154,"B307",380
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",13,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",58,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",65,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",69,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",74,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",87,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",94,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",106,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",111,"B101",150
"chromium\mojo\public\tools\bindings\pylib\mojom\parse\translate.py","LOW",120,"B101",150
